Driver,LapNumber,LapTime,Compound,TyreLife,Position,Time,PitInTime,PittedThisLap,LapSeconds,PersonalDelta,CumSeconds,Interval
ANT,65.0,0 days 00:01:14.769000,MEDIUM,34.0,1.0,0 days 02:27:05.071000,,False,74.769,-0.3499999999999943,8825.071,0.0
ANT,66.0,0 days 00:01:14.412000,MEDIUM,35.0,1.0,0 days 02:28:19.483000,,False,74.412,-0.3569999999999993,8899.483,0.0
ANT,67.0,0 days 00:01:14.609000,MEDIUM,36.0,1.0,0 days 02:29:34.092000,,False,74.609,0.19699999999998852,8974.092,0.0
ANT,68.0,0 days 00:01:14.210000,MEDIUM,37.0,1.0,0 days 02:30:48.302000,,False,74.21,-0.3990000000000009,9048.302,0.0
BEA,1.0,0 days 00:01:35.294000,SOFT,6.0,11.0,0 days 01:04:07.838000,,False,95.294,,3847.838,1.43100000000004
BEA,2.0,0 days 00:01:23.857000,SOFT,7.0,9.0,0 days 01:05:31.695000,,False,83.857,-11.436999999999998,3931.695,3.2470000000002983
BEA,3.0,0 days 00:01:21.748000,SOFT,8.0,9.0,0 days 01:06:53.443000,,False,81.748,-2.1089999999999947,4013.443,3.675000000000182
BEA,4.0,0 days 00:01:21.581000,SOFT,9.0,9.0,0 days 01:08:15.024000,,False,81.581,-0.1670000000000016,4095.024,5.130999999999858
BEA,5.0,0 days 00:01:20.063000,SOFT,10.0,9.0,0 days 01:09:35.087000,,False,80.063,-1.5180000000000007,4175.087,5.696000000000822
BEA,6.0,0 days 00:01:19.321000,SOFT,11.0,9.0,0 days 01:10:54.408000,,False,79.321,-0.7420000000000044,4254.408,6.1469999999999345
BEA,7.0,0 days 00:01:19.630000,SOFT,12.0,9.0,0 days 01:12:14.038000,,False,79.63,0.3089999999999975,4334.038,7.032999999999447
BEA,8.0,0 days 00:01:18.890000,SOFT,13.0,9.0,0 days 01:13:32.928000,,False,78.89,-0.7399999999999949,4412.928,7.777000000000044
BEA,9.0,0 days 00:01:18.093000,SOFT,14.0,9.0,0 days 01:14:51.021000,,False,78.093,-0.796999999999997,4491.021,7.55199999999968
BEA,10.0,0 days 00:01:17.929000,SOFT,15.0,9.0,0 days 01:16:08.950000,,False,77.929,-0.16400000000000148,4568.95,7.313000000000102
BEA,11.0,0 days 00:01:19.752000,SOFT,16.0,11.0,0 days 01:17:28.702000,,False,79.752,1.8229999999999933,4648.702,0.5079999999998108
BEA,12.0,0 days 00:01:20.302000,SOFT,17.0,11.0,0 days 01:18:49.004000,,False,80.302,0.5500000000000114,4729.004,1.7910000000001673
BEA,13.0,0 days 00:01:18.524000,SOFT,18.0,11.0,0 days 01:20:07.528000,,False,78.524,-1.7780000000000058,4807.528,1.0830000000005384
BEA,14.0,0 days 00:01:18.205000,SOFT,19.0,11.0,0 days 01:21:25.733000,,False,78.205,-0.3190000000000026,4885.733,1.2750000000005457
BEA,15.0,0 days 00:01:17.509000,SOFT,20.0,10.0,0 days 01:22:43.242000,,False,77.509,-0.695999999999998,4963.242,1.1890000000003056
BEA,16.0,0 days 00:01:18.120000,SOFT,21.0,10.0,0 days 01:24:01.362000,,False,78.12,0.6110000000000042,5041.362,1.7399999999997817
BEA,17.0,0 days 00:01:17.520000,SOFT,22.0,10.0,0 days 01:25:18.882000,,False,77.52,-0.6000000000000085,5118.882,1.626999999999498
BEA,18.0,0 days 00:01:17.463000,SOFT,23.0,10.0,0 days 01:26:36.345000,,False,77.463,-0.05700000000000216,5196.345,1.6340000000000146
BEA,19.0,0 days 00:01:17.589000,SOFT,24.0,10.0,0 days 01:27:53.934000,,False,77.589,0.12600000000000477,5273.934,1.8040000000000873
BEA,20.0,0 days 00:01:17.646000,SOFT,25.0,10.0,0 days 01:29:11.580000,,False,77.646,0.05700000000000216,5351.58,1.943000000000211
BEA,21.0,0 days 00:01:17.485000,SOFT,26.0,10.0,0 days 01:30:29.065000,,False,77.485,-0.16100000000000136,5429.065,1.6539999999995416
BEA,22.0,0 days 00:01:17.450000,SOFT,27.0,10.0,0 days 01:31:46.515000,,False,77.45,-0.03499999999999659,5506.515,1.6720000000004802
BEA,23.0,0 days 00:01:17.629000,SOFT,28.0,10.0,0 days 01:33:04.144000,,False,77.629,0.17900000000000205,5584.144,1.2100000000000364
BEA,24.0,0 days 00:01:17.264000,SOFT,29.0,10.0,0 days 01:34:21.408000,,False,77.264,-0.3650000000000091,5661.408,1.1820000000006985
BEA,25.0,0 days 00:01:17.397000,SOFT,30.0,10.0,0 days 01:35:38.805000,,False,77.397,0.13300000000000978,5738.805,1.2600000000002183
BEA,26.0,0 days 00:01:17.519000,SOFT,31.0,10.0,0 days 01:36:56.324000,,False,77.519,0.12199999999999989,5816.324,1.6809999999995853
BEA,27.0,0 days 00:01:17.670000,SOFT,32.0,10.0,0 days 01:38:13.994000,,False,77.67,0.15099999999999625,5893.994,2.300999999999476
BEA,28.0,0 days 00:01:17.374000,SOFT,33.0,10.0,0 days 01:39:31.368000,,False,77.374,-0.2960000000000065,5971.368,2.6940000000004147
BEA,29.0,0 days 00:01:17.283000,SOFT,34.0,10.0,0 days 01:40:48.651000,,False,77.283,-0.09099999999999397,6048.651,3.1099999999996726
BEA,30.0,0 days 00:02:13.826000,SOFT,35.0,11.0,0 days 01:43:02.477000,0 days 01:42:19.133000,True,133.826,56.54299999999999,6182.477,10.136999999999716
BEA,31.0,0 days 00:01:41.901000,MEDIUM,1.0,11.0,0 days 01:44:44.378000,,False,101.901,-31.924999999999997,6284.378,7.454999999999927
BEA,32.0,0 days 00:01:19.115000,MEDIUM,2.0,11.0,0 days 01:46:03.493000,,False,79.115,-22.786,6363.493,6.778000000000247
BEA,33.0,0 days 00:01:19.528000,MEDIUM,3.0,11.0,0 days 01:47:23.021000,,False,79.528,0.4130000000000109,6443.021,7.706000000000131
BEA,34.0,0 days 00:01:17.265000,MEDIUM,4.0,11.0,0 days 01:48:40.286000,,False,77.265,-2.2630000000000052,6520.286,6.229000000000269
BEA,35.0,0 days 00:01:17.425000,MEDIUM,5.0,11.0,0 days 01:49:57.711000,,False,77.425,0.1599999999999966,6597.711,6.485999999999876
BEA,36.0,0 days 00:01:16.870000,MEDIUM,6.0,11.0,0 days 01:51:14.581000,,False,76.87,-0.5549999999999926,6674.581,6.757000000000517
BEA,37.0,0 days 00:01:18.083000,MEDIUM,7.0,11.0,0 days 01:52:32.664000,,False,78.083,1.2129999999999939,6752.664,5.878999999999905
BEA,38.0,0 days 00:01:16.736000,MEDIUM,8.0,11.0,0 days 01:53:49.400000,,False,76.736,-1.3469999999999942,6829.4,6.097999999999956
BEA,39.0,0 days 00:01:16.558000,MEDIUM,9.0,10.0,0 days 01:55:05.958000,,False,76.558,-0.17799999999999727,6905.958,5.891999999999825
BEA,40.0,0 days 00:01:17.257000,MEDIUM,10.0,10.0,0 days 01:56:23.215000,,False,77.257,0.6989999999999981,6983.215,4.726999999999862
BEA,41.0,0 days 00:01:18.957000,MEDIUM,11.0,10.0,0 days 01:57:42.172000,,False,78.957,1.6999999999999886,7062.172,7.031999999999243
BEA,42.0,0 days 00:01:16.677000,MEDIUM,12.0,10.0,0 days 01:58:58.849000,,False,76.677,-2.279999999999987,7138.849,6.8770000000004075
BEA,43.0,0 days 00:01:16.481000,MEDIUM,13.0,10.0,0 days 02:00:15.330000,,False,76.481,-0.19600000000001216,7215.33,6.954999999999927
BEA,44.0,0 days 00:01:16.490000,MEDIUM,14.0,10.0,0 days 02:01:31.820000,,False,76.49,0.009000000000000341,7291.82,4.943999999999505
BEA,45.0,0 days 00:01:31.974000,MEDIUM,15.0,10.0,0 days 02:03:03.794000,,False,91.974,15.484000000000009,7383.794,2.0169999999998254
BEA,46.0,0 days 00:01:16.852000,MEDIUM,16.0,10.0,0 days 02:04:20.646000,,False,76.852,-15.122,7460.646,2.4020000000000437
BEA,47.0,0 days 00:01:16.695000,MEDIUM,17.0,10.0,0 days 02:05:37.341000,,False,76.695,-0.1570000000000107,7537.341,2.1130000000002838
BEA,48.0,0 days 00:01:16.592000,MEDIUM,18.0,10.0,0 days 02:06:53.933000,,False,76.592,-0.10299999999999443,7613.933,2.3909999999996217
BEA,49.0,0 days 00:01:17.743000,MEDIUM,19.0,10.0,0 days 02:08:11.676000,,False,77.743,1.1509999999999962,7691.676,3.625
BEA,50.0,0 days 00:01:16.581000,MEDIUM,20.0,10.0,0 days 02:09:28.257000,,False,76.581,-1.161999999999992,7768.257,3.893000000000029
