Driver,LapNumber,LapTime,Compound,TyreLife,Position,Time,PitInTime,PittedThisLap,TrackStatus,LapSeconds,PersonalDelta,CumSeconds,Interval
ALO,25.0,0 days 00:01:19.017000,SOFT,22.0,16.0,0 days 01:29:14.239000,,False,1,79.017,-0.05500000000000682,5354.239,31.294999999999163
ALO,26.0,0 days 00:01:18.881000,SOFT,23.0,16.0,0 days 01:30:33.120000,,False,1,78.881,-0.13599999999999568,5433.12,29.493999999999687
ALO,27.0,0 days 00:01:19.287000,SOFT,24.0,16.0,0 days 01:31:52.407000,,False,1,79.287,0.4060000000000059,5512.407,30.189000000000306
ALO,28.0,0 days 00:01:19.172000,SOFT,25.0,16.0,0 days 01:33:11.579000,,False,1,79.172,-0.1150000000000091,5591.579,30.722999999999956
ALO,29.0,0 days 00:01:19.251000,SOFT,26.0,16.0,0 days 01:34:30.830000,,False,1,79.251,0.07900000000000773,5670.83,31.297999999999774
ALO,30.0,0 days 00:01:19.230000,SOFT,27.0,16.0,0 days 01:35:50.060000,,False,1,79.23,-0.021000000000000796,5750.06,31.95800000000054
ALO,31.0,0 days 00:01:19.014000,SOFT,28.0,16.0,0 days 01:37:09.074000,,False,1,79.014,-0.21600000000000819,5829.074,32.274999999999636
ALO,32.0,0 days 00:01:18.798000,SOFT,29.0,16.0,0 days 01:38:27.872000,,False,1,78.798,-0.21599999999999397,5907.872,32.113000000000284
ALO,33.0,0 days 00:01:18.696000,SOFT,30.0,16.0,0 days 01:39:46.568000,,False,1,78.696,-0.10200000000000387,5986.568,31.92200000000048
ALO,34.0,0 days 00:01:18.754000,SOFT,31.0,16.0,0 days 01:41:05.322000,,False,1,78.754,0.058000000000006935,6065.322,30.91899999999987
ALO,35.0,0 days 00:01:19.137000,SOFT,32.0,16.0,0 days 01:42:24.459000,,False,1,79.137,0.38299999999999557,6144.459,11.975999999999658
ALO,36.0,0 days 00:01:18.911000,SOFT,33.0,16.0,0 days 01:43:43.370000,,False,1,78.911,-0.2259999999999991,6223.37,9.463999999999942
ALO,37.0,0 days 00:01:19.010000,SOFT,34.0,16.0,0 days 01:45:02.380000,,False,1,79.01,0.09900000000000375,6302.38,11.056000000000495
ALO,38.0,0 days 00:01:18.898000,SOFT,35.0,16.0,0 days 01:46:21.278000,,False,1,78.898,-0.11200000000000898,6381.278,13.101999999999862
ALO,39.0,0 days 00:01:18.896000,SOFT,36.0,16.0,0 days 01:47:40.174000,,False,1,78.896,-0.001999999999995339,6460.174,11.940999999999804
ALO,40.0,0 days 00:01:19.020000,SOFT,37.0,16.0,0 days 01:48:59.194000,,False,1,79.02,0.12399999999999523,6539.194,11.871000000000095
ALO,41.0,0 days 00:01:19.215000,SOFT,38.0,16.0,0 days 01:50:18.409000,,False,1,79.215,0.1950000000000074,6618.409,10.542999999999665
ALO,42.0,0 days 00:01:19.414000,SOFT,39.0,16.0,0 days 01:51:37.823000,,False,1,79.414,0.19899999999999807,6697.823,8.11200000000008
ALO,43.0,0 days 00:01:19.699000,SOFT,40.0,16.0,0 days 01:52:57.522000,,False,1,79.699,0.2849999999999966,6777.522,6.167000000000371
ALO,44.0,0 days 00:01:19.618000,SOFT,41.0,16.0,0 days 01:54:17.140000,,False,1,79.618,-0.08100000000000307,6857.14,5.731000000000677
ALO,45.0,0 days 00:01:19.913000,SOFT,42.0,15.0,0 days 01:55:37.053000,,False,1,79.913,0.2950000000000017,6937.053,4.75
ALO,46.0,0 days 00:01:20.144000,SOFT,43.0,15.0,0 days 01:56:57.197000,,False,1,80.144,0.23100000000000875,7017.197,2.6630000000004657
ALO,47.0,0 days 00:01:21.262000,SOFT,44.0,15.0,0 days 01:58:18.459000,,False,1,81.262,1.117999999999995,7098.459,1.800000000000182
ALO,48.0,0 days 00:01:21.050000,SOFT,45.0,15.0,0 days 01:59:39.509000,,False,1,81.05,-0.2120000000000033,7179.509,1.543999999999869
ALO,49.0,0 days 00:01:21.640000,SOFT,46.0,15.0,0 days 02:01:01.149000,,False,1,81.64,0.5900000000000034,7261.149,2.654000000000451
ALO,50.0,0 days 00:01:20.924000,SOFT,47.0,15.0,0 days 02:02:22.073000,,False,1,80.924,-0.715999999999994,7342.073,2.4130000000004657
ALO,51.0,0 days 00:01:21.245000,SOFT,48.0,15.0,0 days 02:03:43.318000,,False,1,81.245,0.32099999999999795,7423.318,4.023000000000138
ALO,52.0,0 days 00:01:19.528000,SOFT,49.0,15.0,0 days 02:05:02.846000,,False,1,79.528,-1.7169999999999987,7502.846,2.5159999999996217
