Driver,LapNumber,LapTime,Compound,TyreLife,Position,Time,PitInTime,PittedThisLap,LapSeconds,PersonalDelta,CumSeconds,Interval
BOT,4.0,0 days 00:01:26.254000,MEDIUM,4.0,20.0,0 days 00:59:34.783000,,False,86.254,0.5090000000000003,3574.783,1.9209999999998217
BOT,5.0,0 days 00:01:26.543000,MEDIUM,5.0,20.0,0 days 01:01:01.326000,,False,86.543,0.2890000000000015,3661.326,2.6959999999999127
BOT,6.0,0 days 00:01:26.660000,MEDIUM,6.0,20.0,0 days 01:02:27.986000,,False,86.66,0.11699999999999022,3747.986,3.3399999999996908
BOT,7.0,0 days 00:01:26.681000,MEDIUM,7.0,20.0,0 days 01:03:54.667000,,False,86.681,0.021000000000000796,3834.667,3.93100000000004
BOT,8.0,0 days 00:01:27.170000,MEDIUM,8.0,20.0,0 days 01:05:21.837000,,False,87.17,0.4890000000000043,3921.837,4.619000000000142
BOT,9.0,0 days 00:01:27.746000,MEDIUM,9.0,20.0,0 days 01:06:49.583000,,False,87.746,0.5759999999999934,4009.583,5.463000000000193
BOT,10.0,0 days 00:01:27.968000,MEDIUM,10.0,20.0,0 days 01:08:17.551000,,False,87.968,0.2220000000000084,4097.551,6.703000000000429
BOT,11.0,0 days 00:01:28.045000,MEDIUM,11.0,20.0,0 days 01:09:45.596000,,False,88.045,0.07699999999999818,4185.596,7.757999999999811
BOT,12.0,0 days 00:01:29.432000,MEDIUM,12.0,21.0,0 days 01:11:15.028000,,False,89.432,1.3870000000000005,4275.028,1.6530000000002474
BOT,13.0,0 days 00:01:28.393000,MEDIUM,13.0,20.0,0 days 01:12:43.421000,,False,88.393,-1.0390000000000015,4363.421,2.4260000000003856
BOT,14.0,0 days 00:01:32.208000,MEDIUM,14.0,19.0,0 days 01:14:15.629000,0 days 01:14:12.801000,True,92.208,3.8149999999999977,4455.629,1.7049999999999272
BOT,15.0,0 days 00:02:00.780000,HARD,1.0,21.0,0 days 01:16:16.409000,0 days 01:16:13.593000,True,120.78,28.572000000000003,4576.409,31.857999999999265
COL,1.0,0 days 00:01:31.450000,SOFT,1.0,11.0,0 days 00:55:12.789000,,False,91.45,,3312.789,0.5270000000000437
COL,2.0,0 days 00:01:24.260000,SOFT,2.0,11.0,0 days 00:56:37.049000,,False,84.26,-7.189999999999998,3397.049,0.49099999999998545
COL,3.0,0 days 00:01:24.360000,SOFT,3.0,11.0,0 days 00:58:01.409000,,False,84.36,0.09999999999999432,3481.409,0.7800000000002001
COL,4.0,0 days 00:01:24.397000,SOFT,4.0,11.0,0 days 00:59:25.806000,,False,84.397,0.03700000000000614,3565.806,0.8719999999998436
COL,5.0,0 days 00:01:24.909000,SOFT,5.0,11.0,0 days 01:00:50.715000,,False,84.909,0.5120000000000005,3650.715,1.2049999999999272
COL,6.0,0 days 00:01:24.948000,SOFT,6.0,11.0,0 days 01:02:15.663000,,False,84.948,0.03899999999998727,3735.663,0.7390000000000327
COL,7.0,0 days 00:01:26.439000,SOFT,7.0,12.0,0 days 01:03:42.102000,,False,86.439,1.4909999999999997,3822.102,1.087999999999738
COL,8.0,0 days 00:01:25.561000,SOFT,8.0,12.0,0 days 01:05:07.663000,,False,85.561,-0.8779999999999859,3907.663,1.306999999999789
COL,9.0,0 days 00:01:26.184000,SOFT,9.0,12.0,0 days 01:06:33.847000,,False,86.184,0.6229999999999905,3993.847,1.5770000000002256
COL,10.0,0 days 00:01:26.102000,SOFT,10.0,12.0,0 days 01:07:59.949000,,False,86.102,-0.08199999999999363,4079.949,1.525000000000091
